Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/cab/000af418-7052-4b26-a904-6333a17aff36/reject/,1,0,6.749584019416943,6.749584019416943,6.749584019416943,6.749584019416943,32.0,0.0033709517814487487,0.0,7,7,7,7,7,7,7,7,7,7,7
POST,/api/v1/cab/02493ebf-b52f-43f2-b960-1fe1fce84558/reject/,1,0,7.879833981860429,7.879833981860429,7.879833981860429,7.879833981860429,32.0,0.0033709517814487487,0.0,8,8,8,8,8,8,8,8,8,8,8
POST,/api/v1/cab/0263bd86-4a1e-4efe-993f-64571bac6608/reject/,1,1,4.2960829741787165,4.2960829741787165,4.2960829741787165,4.2960829741787165,126.0,0.0033709517814487487,0.0033709517814487487,4,4,4,4,4,4,4,4,4,4,4
POST,/api/v1/cab/03562f4c-92e0-420c-b864-dfc5bff3ded7/reject/,1,1,8.547665987862274,8.547665987862274,8.547665987862274,8.547665987862274,126.0,0.0033709517814487487,0.0033709517814487487,9,9,9,9,9,9,9,9,9,9,9
POST,/api/v1/cab/03b11a7f-a775-4b2c-9045-85215564ccf4/reject/,1,1,3.404999995836988,3.404999995836988,3.404999995836988,3.404999995836988,126.0,0.0033709517814487487,0.0033709517814487487,3,3,3,3,3,3,3,3,3,3,3
POST,/api/v1/cab/042f1bfa-e6ef-4efa-9bb0-5ee483d0b96a/reject/,1,0,4.936999990604818,4.936999990604818,4.936999990604818,4.936999990604818,32.0,0.0033709517814487487,0.0,5,5,5,5,5,5,5,5,5,5,5
POST,/api/v1/cab/043c8a0a-46ce-4262-920e-7f25e5e82506/reject/,1,1,3.434332989854738,3.434332989854738,3.434332989854738,3.434332989854738,126.0,0.0033709517814487487,0.0033709517814487487,3,3,3,3,3,3,3,3,3,3,3
POST,/api/v1/cab/049a97c1-c098-4e0b-9663-00bc98cfa456/reject/,1,1,5.305833008605987,5.305833008605987,5.305833008605987,5.305833008605987,126.0,0.0033709517814487487,0.0033709517814487487,5,5,5,5,5,5,5,5,5,5,5
POST,/api/v1/cab/04ca302b-3b1a-4fb7-b9a1-f93ed30f6abc/reject/,1,0,46.80774998269044,46.80774998269044,46.80774998269044,46.80774998269044,32.0,0.0033709517814487487,0.0,47,47,47,47,47,47,47,47,47,47,47
POST,/api/v1/cab/0665740b-41f2-491e-aa7d-fa59bbfdf871/reject/,1,1,3.224333981052041,3.224333981052041,3.224333981052041,3.224333981052041,126.0,0.0033709517814487487,0.0033709517814487487,3,3,3,3,3,3,3,3,3,3,3
