Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1769055594,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1769055595,8,,Aggregated,0.000000,0.000000,17,23,24,25,25,36,36,36,36,36,36,13,7,17,16.79278184579184,3.4507919917814434,35.63541598850861,1855.7692307692307
1769055596,15,,Aggregated,0.000000,0.000000,11,17,23,25,33,37,54,54,54,54,54,41,25,11,15.309535488685048,2.8958340117242187,53.70275001041591,2096.243902439024
1769055597,23,,Aggregated,10.000000,4.000000,9,15,21,24,33,42,54,70,70,70,70,77,46,9,14.333102258312358,2.8415839769877493,70.45466697309166,2227.3896103896104
1769055598,32,,Aggregated,15.500000,8.500000,9,14,18,21,27,40,49,54,70,70,70,120,72,9,13.319367398071336,2.7142080070916563,70.45466697309166,2146.616666666667
1769055599,40,,Aggregated,20.333333,12.000000,9,14,18,21,31,41,53,65,70,70,70,162,95,9,13.55024412156508,2.504416013834998,70.45466697309166,2185.425925925926
1769055600,52,,Aggregated,26.000000,15.500000,8,11,17,20,27,40,49,54,70,70,70,220,128,8,12.159841712326108,1.8580420000944287,70.45466697309166,2287.922727272727
1769055601,62,,Aggregated,29.600000,17.000000,7,10,16,19,30,40,49,65,70,70,70,284,165,7,12.07103407642522,1.8580420000944287,70.45466697309166,2302.228873239437
1769055602,72,,Aggregated,32.666667,18.666667,7,11,17,21,32,42,65,70,84,84,84,360,210,7,12.938702932862927,1.8580420000944287,84.3210419989191,2293.366666666667
1769055603,79,,Aggregated,37.000000,21.285714,7,10,16,20,32,43,63,70,84,84,84,443,252,7,12.776902767474306,1.8580420000944287,84.3210419989191,2379.4943566591423
1769055604,89,,Aggregated,40.750000,23.625000,7,11,16,21,37,53,70,83,95,95,95,529,298,7,13.667023400870717,1.8580420000944287,95.37462500156835,2400.538752362949
1769055605,78,,Aggregated,45.111111,25.888889,7,10,15,19,35,50,67,79,95,95,95,634,370,7,13.191979503369602,1.6069580160547048,95.37462500156835,2300.2665615141955
1769055606,78,,Aggregated,49.000000,27.500000,6,9,13,17,31,45,62,76,95,95,95,752,446,6,12.048209788616155,1.6069580160547048,95.37462500156835,2272.2247340425533
1769055607,75,,Aggregated,57.800000,33.400000,6,9,12,15,27,42,59,70,95,95,95,866,525,6,11.176127907682929,1.6069580160547048,95.37462500156835,2199.1016166281756
1769055608,75,,Aggregated,67.000000,39.500000,5,8,11,13,24,41,59,70,95,95,95,982,604,5,10.568572233210302,1.6069580160547048,95.37462500156835,2148.390020366599
1769055609,75,,Aggregated,75.000000,45.100000,5,8,10,13,23,38,56,70,88,95,95,1094,681,5,10.19400991610093,1.6069580160547048,95.37462500156835,2111.6151736745887
1769055610,75,,Aggregated,81.900000,50.400000,6,8,10,12,23,38,53,67,88,95,95,1211,759,6,10.054157702089807,1.6069580160547048,95.37462500156835,2090.676300578035
1769055611,75,,Aggregated,89.400000,55.800000,5,8,10,12,21,36,53,65,88,95,95,1330,843,5,9.720125612063173,1.6069580160547048,95.37462500156835,2065.8503759398495
1769055612,75,,Aggregated,96.100000,61.000000,6,8,10,12,20,34,53,63,88,95,95,1448,922,6,9.49161448262298,1.6069580160547048,95.37462500156835,2044.9046961325967
1769055613,75,,Aggregated,101.600000,65.300000,5,8,10,11,18,31,50,62,88,95,95,1568,1002,5,9.221252480547635,1.6069580160547048,95.37462500156835,2025.8558673469388
1769055614,75,,Aggregated,106.400000,69.500000,5,8,9,11,18,30,50,61,88,95,95,1689,1089,5,9.039559259516109,1.6069580160547048,95.37462500156835,1996.9135583185316
1769055615,75,,Aggregated,110.300000,73.000000,5,8,9,11,17,28,49,59,88,95,95,1803,1169,5,8.866128309711083,1.6069580160547048,95.37462500156835,1976.4747642817526
1769055616,75,,Aggregated,114.100000,77.000000,5,7,9,11,16,27,46,59,88,95,95,1928,1256,5,8.601611624805752,1.6069580160547048,95.37462500156835,1961.5233402489628
1769055617,75,,Aggregated,115.900000,79.200000,5,7,9,10,16,25,43,57,84,95,95,2055,1349,5,8.423424169133416,1.6069580160547048,95.37462500156835,1935.4116788321169
1769055618,75,,Aggregated,116.500000,80.100000,5,7,9,10,16,24,43,56,84,95,95,2161,1423,5,8.2800011771268,1.6069580160547048,95.37462500156835,1925.1161499305877
1769055619,75,,Aggregated,118.500000,81.900000,5,7,9,10,16,24,42,54,84,95,95,2286,1505,5,8.171118877759678,1.6069580160547048,95.37462500156835,1921.9343832020998
1769055620,75,,Aggregated,118.700000,82.500000,5,7,9,10,15,24,42,53,84,95,95,2409,1588,5,8.027913105343448,1.6069580160547048,95.37462500156835,1917.7978414279785
1769055621,75,,Aggregated,118.800000,82.100000,5,7,9,10,15,23,41,53,84,95,95,2523,1665,5,7.8826396828344745,1.6069580160547048,95.37462500156835,1915.4268727705114
1769055622,75,,Aggregated,119.200000,82.800000,5,7,8,10,14,23,40,53,84,95,95,2634,1740,5,7.719237077068562,1.6069580160547048,95.37462500156835,1911.7957479119211
1769055623,75,,Aggregated,119.000000,82.300000,5,7,8,9,14,22,40,53,84,95,95,2746,1815,5,7.670639234869124,1.6069580160547048,95.37462500156835,1914.7916970138383
1769055624,75,,Aggregated,118.300000,81.500000,5,7,8,9,14,22,39,53,84,95,95,2866,1897,5,7.5763072665585485,1.6069580160547048,95.37462500156835,1916.0317515701327
1769055625,75,,Aggregated,118.300000,81.500000,5,7,8,9,14,22,38,53,84,95,95,2973,1972,5,7.536775099599998,1.5822920249775052,95.37462500156835,1908.582240161453
1769055626,75,,Aggregated,117.200000,80.600000,5,7,8,9,14,22,40,53,84,95,95,3105,2066,5,7.578324984345546,1.532958005554974,95.37462500156835,1897.2573268921094
1769055627,75,,Aggregated,117.600000,80.500000,5,7,8,9,14,22,40,53,84,95,95,3225,2143,5,7.526948137503016,1.532958005554974,95.37462500156835,1902.533023255814
1769055628,75,,Aggregated,117.600000,80.800000,5,7,8,9,14,22,40,53,84,95,95,3348,2228,5,7.580492257894355,1.532958005554974,95.37462500156835,1898.3321385902032
1769055629,75,,Aggregated,117.000000,79.700000,5,7,8,9,14,22,39,53,84,95,95,3471,2312,5,7.50261762871386,1.532958005554974,95.37462500156835,1895.0656871218669
1769055630,75,,Aggregated,116.200000,78.700000,5,6,8,9,14,21,38,53,84,95,95,3590,2396,5,7.399741991387076,1.532958005554974,95.37462500156835,1886.4763231197771
1769055631,75,,Aggregated,117.300000,79.900000,5,6,8,9,13,21,38,51,84,95,95,3717,2482,5,7.339873295689524,1.532958005554974,95.37462500156835,1887.908797417272
1769055632,75,,Aggregated,118.200000,80.700000,5,6,8,9,14,21,37,50,84,95,95,3834,2566,5,7.336250217846132,1.532958005554974,95.37462500156835,1877.5962441314555
