Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/cab/0006300b-4a31-4804-9792-09ed45305057/reject/,1,0,8.931333024520427,8.931333024520427,8.931333024520427,8.931333024520427,32.0,0.0033379840905159255,0.0,9,9,9,9,9,9,9,9,9,9,9
POST,/api/v1/cab/00539d48-9437-4a1a-b594-7898531ca845/reject/,1,1,4.617624974343926,4.617624974343926,4.617624974343926,4.617624974343926,126.0,0.0033379840905159255,0.0033379840905159255,5,5,5,5,5,5,5,5,5,5,5
POST,/api/v1/cab/005c15e7-e19d-491a-a50c-3cf973165ff7/reject/,1,1,12.676415994064882,12.676415994064882,12.676415994064882,12.676415994064882,126.0,0.0033379840905159255,0.0033379840905159255,13,13,13,13,13,13,13,13,13,13,13
POST,/api/v1/cab/006b2ae9-1ff9-4acf-a666-89f57c5b6f50/reject/,1,1,14.672749995952472,14.672749995952472,14.672749995952472,14.672749995952472,126.0,0.0033379840905159255,0.0033379840905159255,15,15,15,15,15,15,15,15,15,15,15
POST,/api/v1/cab/009dc03f-3d05-4687-b4be-6ae352ab8857/reject/,1,1,5.23129099747166,5.23129099747166,5.23129099747166,5.23129099747166,126.0,0.0033379840905159255,0.0033379840905159255,5,5,5,5,5,5,5,5,5,5,5
POST,/api/v1/cab/00d9b322-0bfa-495e-a726-c993fa879170/reject/,1,1,3.0342919926624745,3.0342919926624745,3.0342919926624745,3.0342919926624745,126.0,0.0033379840905159255,0.0033379840905159255,3,3,3,3,3,3,3,3,3,3,3
POST,/api/v1/cab/00f4d7a5-f956-47ce-be86-377e68c90879/approve/,1,0,18.97829200606793,18.97829200606793,18.97829200606793,18.97829200606793,32.0,0.0033379840905159255,0.0,19,19,19,19,19,19,19,19,19,19,19
POST,/api/v1/cab/011f727a-d556-4fd1-8890-30a3c80701b5/reject/,1,1,6.410124973626807,6.410124973626807,6.410124973626807,6.410124973626807,126.0,0.0033379840905159255,0.0033379840905159255,6,6,6,6,6,6,6,6,6,6,6
POST,/api/v1/cab/012b2e4d-2b0f-4e9c-adda-eff99a3a29f9/reject/,1,1,3.581124998163432,3.581124998163432,3.581124998163432,3.581124998163432,126.0,0.0033379840905159255,0.0033379840905159255,4,4,4,4,4,4,4,4,4,4,4
POST,/api/v1/cab/012bb8d5-9ff6-4ad1-a00e-e65005473361/reject/,1,1,4.767042002640665,4.767042002640665,4.767042002640665,4.767042002640665,126.0,0.0033379840905159255,0.0033379840905159255,5,5,5,5,5,5,5,5,5,5,5
POST,/api/v1/cab/014d861e-9f9a-4ecd-ab8e-6fc39540497f/reject/,1,1,3.1692920019850135,3.1692920019850135,3.1692920019850135,3.1692920019850135,126.0,0.0033379840905159255,0.0033379840905159255,3,3,3,3,3,3,3,3,3,3,3
POST,/api/v1/cab/016ad94f-8dc9-42a3-ad97-1b8e48850747/reject/,1,0,9.019374992931262,9.019374992931262,9.019374992931262,9.019374992931262,32.0,0.0033379840905159255,0.0,9,9,9,9,9,9,9,9,9,9,9
POST,/api/v1/cab/018135cc-6d21-493a-99ae-b4d1edee108d/approve/,1,0,23.541583999758586,23.541583999758586,23.541583999758586,23.541583999758586,32.0,0.0033379840905159255,0.0,24,24,24,24,24,24,24,24,24,24,24
POST,/api/v1/cab/01c5b589-26a3-4e9c-9125-5649c9f15fd7/reject/,1,1,7.607541978359222,7.607541978359222,7.607541978359222,7.607541978359222,126.0,0.0033379840905159255,0.0033379840905159255,8,8,8,8,8,8,8,8,8,8,8
POST,/api/v1/cab/01cce420-ced1-425a-8b71-768a6f56d107/reject/,1,1,5.434458988020197,5.434458988020197,5.434458988020197,5.434458988020197,126.0,0.0033379840905159255,0.0033379840905159255,5,5,5,5,5,5,5,5,5,5,5
POST,/api/v1/cab/023a2453-fd7e-43c3-8198-e963ff5ed71b/reject/,1,1,9.010041976580396,9.010041976580396,9.010041976580396,9.010041976580396,126.0,0.0033379840905159255,0.0033379840905159255,9,9,9,9,9,9,9,9,9,9,9
POST,/api/v1/cab/0264643a-66d5-47df-be2a-8bbd7d91fed7/reject/,1,1,7.615542010171339,7.615542010171339,7.615542010171339,7.615542010171339,126.0,0.0033379840905159255,0.0033379840905159255,8,8,8,8,8,8,8,8,8,8,8
POST,/api/v1/cab/036833bb-35cf-4ec8-89b1-d30a926d5692/reject/,1,1,3.7376249965745956,3.7376249965745956,3.7376249965745956,3.7376249965745956,126.0,0.0033379840905159255,0.0033379840905159255,4,4,4,4,4,4,4,4,4,4,4
