Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/connectors/publish/,41907,0,13,31.468724464773647,2.891125011956319,950.0474999949802,5071.0,140.1322096970339,0.0,13,21,30,39,79,130,200,250,620,850,950
POST,/api/v1/connectors/remediate/,7220,0,12,31.278478162533442,2.9089169984217733,670.2526670123916,5077.0,24.14285331836172,0.0,12,21,30,39,80,130,200,240,620,670,670
GET,/api/v1/connectors/status/000698f8-a75a-4c27-b587-52a7913f07de/,1,0,21.610999974654987,21.610999974654987,21.610999974654987,21.610999974654987,5178.0,0.0033438855011581332,0.0,22,22,22,22,22,22,22,22,22,22,22
GET,/api/v1/connectors/status/00178130-fe59-411b-a6e8-c73d3c60b52d/,1,0,137.74624999496154,137.74624999496154,137.74624999496154,137.74624999496154,5178.0,0.0033438855011581332,0.0,140,140,140,140,140,140,140,140,140,140,140
GET,/api/v1/connectors/status/00214cd4-e9bc-4d01-b3cd-ceb0342fb74a/,1,0,21.104083978570998,21.104083978570998,21.104083978570998,21.104083978570998,5178.0,0.0033438855011581332,0.0,21,21,21,21,21,21,21,21,21,21,21
GET,/api/v1/connectors/status/0024e6da-e9c5-40ff-898a-6690d3f8168d/,1,0,22.533167008077726,22.533167008077726,22.533167008077726,22.533167008077726,5178.0,0.0033438855011581332,0.0,23,23,23,23,23,23,23,23,23,23,23
GET,/api/v1/connectors/status/0025708d-0177-4275-9b48-fd609fcbb0ec/,1,0,100.10441599297337,100.10441599297337,100.10441599297337,100.10441599297337,5178.0,0.0033438855011581332,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/api/v1/connectors/status/002b8214-e221-49c2-a411-a50f780d1a32/,1,0,10.100082989083603,10.100082989083603,10.100082989083603,10.100082989083603,5178.0,0.0033438855011581332,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/api/v1/connectors/status/002bf26b-2be8-4dc8-bee4-fd7d7df9f7fa/,1,0,67.60612499783747,67.60612499783747,67.60612499783747,67.60612499783747,5178.0,0.0033438855011581332,0.0,68,68,68,68,68,68,68,68,68,68,68
GET,/api/v1/connectors/status/003df368-7201-4100-85a4-f44d11cb2958/,1,0,21.51691701146774,21.51691701146774,21.51691701146774,21.51691701146774,5178.0,0.0033438855011581332,0.0,22,22,22,22,22,22,22,22,22,22,22
GET,/api/v1/connectors/status/003e7827-8862-4225-b723-2257ce2adff5/,1,0,3.979291010182351,3.979291010182351,3.979291010182351,3.979291010182351,5178.0,0.0033438855011581332,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/api/v1/connectors/status/00427f47-eca6-4a4b-ad24-bf6320bea562/,1,0,12.268916005268693,12.268916005268693,12.268916005268693,12.268916005268693,5178.0,0.0033438855011581332,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/api/v1/connectors/status/0042c5c7-27b7-4db3-b7b7-89eba86fd79d/,1,0,6.937124999240041,6.937124999240041,6.937124999240041,6.937124999240041,5178.0,0.0033438855011581332,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/v1/connectors/status/0050dc7f-016d-48a8-811a-f8abc3999742/,1,0,9.841083025094122,9.841083025094122,9.841083025094122,9.841083025094122,5178.0,0.0033438855011581332,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/api/v1/connectors/status/0052f5be-1d70-43c9-9ecd-53b97ad00293/,1,0,28.702749987132847,28.702749987132847,28.702749987132847,28.702749987132847,5178.0,0.0033438855011581332,0.0,29,29,29,29,29,29,29,29,29,29,29
GET,/api/v1/connectors/status/0063ac87-767f-4088-b75b-f5162be369af/,1,0,71.41950001823716,71.41950001823716,71.41950001823716,71.41950001823716,5178.0,0.0033438855011581332,0.0,71,71,71,71,71,71,71,71,71,71,71
GET,/api/v1/connectors/status/00661712-7b39-41d1-be85-01fedc7f7226/,1,0,7.305875013116747,7.305875013116747,7.305875013116747,7.305875013116747,5178.0,0.0033438855011581332,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/v1/connectors/status/006b55ed-2c0a-48b4-ad93-ac01252603b2/,1,0,42.723167018266395,42.723167018266395,42.723167018266395,42.723167018266395,5178.0,0.0033438855011581332,0.0,43,43,43,43,43,43,43,43,43,43,43
